character,character_picture,build_type,description_build,relic_set,picture_relic,planar_set,picture_planar,lightcone,picture_lightcone,team_recommendation,picture_team_recommendation,comment,element,picture_element,path,picture_path,rarity
Kafka,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240,"AoE DoT, FuA","Body Atk, Boots Speed or Atk, Ring L Dmg, Rope Atk",Band of Sizzling Thunder (4pc),https://static.wikia.nocookie.net/houkai-star-rail/images/6/6e/Item_Band_of_Sizzling_Thunder.png/revision/latest?cb=20230810042246,Firmament Frontline: Glamoth,https://static.wikia.nocookie.net/houkai-star-rail/images/f/f7/Item_Firmament_Frontline_Glamoth.png/revision/latest?cb=20231115045308,Patience Is All You Need,https://static.wikia.nocookie.net/houkai-star-rail/images/8/87/Light_Cone_Patience_Is_All_You_Need.png/revision/latest?cb=20230809041852,Kafka;HuoHuo;Ruan Mei;Black Swan,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240;https://static.wikia.nocookie.net/houkai-star-rail/images/8/82/Character_Huohuo_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20250604025217;https://static.wikia.nocookie.net/houkai-star-rail/images/d/d5/Character_Ruan_Mei_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20231227021137;https://static.wikia.nocookie.net/houkai-star-rail/images/f/fd/Character_Black_Swan_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20240220023547,"So, basically Kafka only need 28% effect hit rate to land her DoT on 40% RES Enemy (that's the maximum I think?)",Lightning,https://static.wikia.nocookie.net/houkai-star-rail/images/1/15/Type_Lightning.png/revision/latest?cb=20220610120726,Nihility,https://static.wikia.nocookie.net/houkai-star-rail/images/4/45/Path_Nihility.png/revision/latest?cb=20240417235304,5
Kafka,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240,"AoE DoT, FuA","Body Atk, Boots Speed or Atk, Ring L Dmg, Rope Atk",Prisoner in Deep Confinement (4pc),https://honkai-star-rail.fandom.com/wiki/Prisoner_in_Deep_Confinement?file=Item_Prisoner_in_Deep_Confinement.png,Firmament Frontline: Glamoth,https://static.wikia.nocookie.net/houkai-star-rail/images/f/f7/Item_Firmament_Frontline_Glamoth.png/revision/latest?cb=20231115045308,Patience Is All You Need,https://static.wikia.nocookie.net/houkai-star-rail/images/8/87/Light_Cone_Patience_Is_All_You_Need.png/revision/latest?cb=20230809041852,Kafka;Luocha;Ruan Mei;Black Swan,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240;https://static.wikia.nocookie.net/houkai-star-rail/images/a/a5/Character_Luocha_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230628091054;https://static.wikia.nocookie.net/houkai-star-rail/images/d/d5/Character_Ruan_Mei_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20231227021137;https://static.wikia.nocookie.net/houkai-star-rail/images/f/fd/Character_Black_Swan_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20240220023547,"YOOO IM SO SORRY FOR NOT REPLYING, i was focusing on my finals so i didn't have much time opening hoyolab
to answer your question, it is better to use prisonner than band",Lightning,https://static.wikia.nocookie.net/houkai-star-rail/images/1/15/Type_Lightning.png/revision/latest?cb=20220610120726,Nihility,https://static.wikia.nocookie.net/houkai-star-rail/images/4/45/Path_Nihility.png/revision/latest?cb=20240417235304,5
Kafka,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240,"AoE DoT, FuA","Body Atk, Boots Speed or Atk, Ring L Dmg, Rope Atk",Prisoner in Deep Confinement (4pc),https://honkai-star-rail.fandom.com/wiki/Prisoner_in_Deep_Confinement?file=Item_Prisoner_in_Deep_Confinement.png,Firmament Frontline: Glamoth,https://static.wikia.nocookie.net/houkai-star-rail/images/f/f7/Item_Firmament_Frontline_Glamoth.png/revision/latest?cb=20231115045308,Patience Is All You Need,https://static.wikia.nocookie.net/houkai-star-rail/images/8/87/Light_Cone_Patience_Is_All_You_Need.png/revision/latest?cb=20230809041852,Kafka;HuoHuo;Ruan Mei;Black Swan,," Sampo is your best option or guinaifen, but dont except it to be better than balck swan though ?? those two have 100% abilities to inflict dot's for kafka to trigger just make sure to stack them enough HER",Lightning,https://static.wikia.nocookie.net/houkai-star-rail/images/1/15/Type_Lightning.png/revision/latest?cb=20220610120726,Nihility,https://static.wikia.nocookie.net/houkai-star-rail/images/4/45/Path_Nihility.png/revision/latest?cb=20240417235304,5
Kafka,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240,"AoE DoT, FuA","Body Atk, Boots Speed or Atk, Ring L Dmg, Rope Atk",Prisoner in Deep Confinement (4pc),https://honkai-star-rail.fandom.com/wiki/Prisoner_in_Deep_Confinement?file=Item_Prisoner_in_Deep_Confinement.png,Firmament Frontline: Glamoth,https://static.wikia.nocookie.net/houkai-star-rail/images/f/f7/Item_Firmament_Frontline_Glamoth.png/revision/latest?cb=20231115045308,Patience Is All You Need,https://static.wikia.nocookie.net/houkai-star-rail/images/8/87/Light_Cone_Patience_Is_All_You_Need.png/revision/latest?cb=20230809041852,Kafka;HuoHuo;Ruan Mei;Black Swan,,,Lightning,https://static.wikia.nocookie.net/houkai-star-rail/images/1/15/Type_Lightning.png/revision/latest?cb=20220610120726,Nihility,https://static.wikia.nocookie.net/houkai-star-rail/images/4/45/Path_Nihility.png/revision/latest?cb=20240417235304,5
Kafka,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240,"AoE DoT, FuA","Body Atk, Boots Speed or Atk, Ring L Dmg, Rope Atk",Band of Sizzling Thunder (4pc),https://static.wikia.nocookie.net/houkai-star-rail/images/6/6e/Item_Band_of_Sizzling_Thunder.png/revision/latest?cb=20230810042246,Firmament Frontline: Glamoth,https://static.wikia.nocookie.net/houkai-star-rail/images/f/f7/Item_Firmament_Frontline_Glamoth.png/revision/latest?cb=20231115045308,Patience Is All You Need,https://static.wikia.nocookie.net/houkai-star-rail/images/8/87/Light_Cone_Patience_Is_All_You_Need.png/revision/latest?cb=20230809041852,Kafka;HuoHuo;Ruan Mei;Black Swan,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240;https://static.wikia.nocookie.net/houkai-star-rail/images/8/82/Character_Huohuo_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20250604025217;https://static.wikia.nocookie.net/houkai-star-rail/images/d/d5/Character_Ruan_Mei_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20231227021137;https://static.wikia.nocookie.net/houkai-star-rail/images/f/fd/Character_Black_Swan_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20240220023547,Kalo kafka ku sendiri pakenya set yang glamoth trs stat nya di bola aku pake lighting damage bonus nyari substat spd trs di tali nya aku pake atk% nyari substat spd juga,Lightning,https://static.wikia.nocookie.net/houkai-star-rail/images/1/15/Type_Lightning.png/revision/latest?cb=20220610120726,Nihility,https://static.wikia.nocookie.net/houkai-star-rail/images/4/45/Path_Nihility.png/revision/latest?cb=20240417235304,5
Kafka,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240,"AoE DoT, FuA","Body Atk, Boots Speed or Atk, Ring L Dmg, Rope Atk",Band of Sizzling Thunder (4pc),https://static.wikia.nocookie.net/houkai-star-rail/images/6/6e/Item_Band_of_Sizzling_Thunder.png/revision/latest?cb=20230810042246,Firmament Frontline: Glamoth,https://static.wikia.nocookie.net/houkai-star-rail/images/f/f7/Item_Firmament_Frontline_Glamoth.png/revision/latest?cb=20231115045308,Patience Is All You Need,https://static.wikia.nocookie.net/houkai-star-rail/images/8/87/Light_Cone_Patience_Is_All_You_Need.png/revision/latest?cb=20230809041852,Kafka;HuoHuo;Ruan Mei;Black Swan,,"Robin is an incredibly universal support and cuts cycles down by a lot for endgame, not just used in only FuA teams. Shes amazing with Acheron, DH, Argenti, DoT, and obviously as you said FuA. ",Lightning,https://static.wikia.nocookie.net/houkai-star-rail/images/1/15/Type_Lightning.png/revision/latest?cb=20220610120726,Nihility,https://static.wikia.nocookie.net/houkai-star-rail/images/4/45/Path_Nihility.png/revision/latest?cb=20240417235304,5
Kafka,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240,"AoE DoT, FuA","Body Atk, Boots Speed or Atk, Ring L Dmg, Rope Atk",Band of Sizzling Thunder (4pc),https://static.wikia.nocookie.net/houkai-star-rail/images/6/6e/Item_Band_of_Sizzling_Thunder.png/revision/latest?cb=20230810042246,Firmament Frontline: Glamoth,https://static.wikia.nocookie.net/houkai-star-rail/images/f/f7/Item_Firmament_Frontline_Glamoth.png/revision/latest?cb=20231115045308,Patience Is All You Need,https://static.wikia.nocookie.net/houkai-star-rail/images/8/87/Light_Cone_Patience_Is_All_You_Need.png/revision/latest?cb=20230809041852,Kafka;HuoHuo;Ruan Mei;Black Swan,,Sign LC is op bruh,Lightning,https://static.wikia.nocookie.net/houkai-star-rail/images/1/15/Type_Lightning.png/revision/latest?cb=20220610120726,Nihility,https://static.wikia.nocookie.net/houkai-star-rail/images/4/45/Path_Nihility.png/revision/latest?cb=20240417235304,5
Kafka,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240,"AoE DoT, FuA","Body Atk, Boots Speed or Atk, Ring L Dmg, Rope Atk",Band of Sizzling Thunder (4pc),https://static.wikia.nocookie.net/houkai-star-rail/images/6/6e/Item_Band_of_Sizzling_Thunder.png/revision/latest?cb=20230810042246,Firmament Frontline: Glamoth,https://static.wikia.nocookie.net/houkai-star-rail/images/f/f7/Item_Firmament_Frontline_Glamoth.png/revision/latest?cb=20231115045308,Patience Is All You Need,https://static.wikia.nocookie.net/houkai-star-rail/images/8/87/Light_Cone_Patience_Is_All_You_Need.png/revision/latest?cb=20230809041852,Kafka;HuoHuo;Ruan Mei;Black Swan,,Her sign LC with Band of Sizzling Thunde,Lightning,https://static.wikia.nocookie.net/houkai-star-rail/images/1/15/Type_Lightning.png/revision/latest?cb=20220610120726,Nihility,https://static.wikia.nocookie.net/houkai-star-rail/images/4/45/Path_Nihility.png/revision/latest?cb=20240417235304,5
Kafka,https://static.wikia.nocookie.net/houkai-star-rail/images/9/95/Character_Kafka_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230809042240,"AoE DoT, FuA","Body Atk, Boots Speed or Atk, Ring L Dmg, Rope Atk",Band of Sizzling Thunder (4pc),https://static.wikia.nocookie.net/houkai-star-rail/images/6/6e/Item_Band_of_Sizzling_Thunder.png/revision/latest?cb=20230810042246,Firmament Frontline: Glamoth,https://static.wikia.nocookie.net/houkai-star-rail/images/f/f7/Item_Firmament_Frontline_Glamoth.png/revision/latest?cb=20231115045308,Patience Is All You Need,https://static.wikia.nocookie.net/houkai-star-rail/images/8/87/Light_Cone_Patience_Is_All_You_Need.png/revision/latest?cb=20230809041852,Kafka;Luocha;Ruan Mei;Black Swan,,Band of Sizzling Thunde,Lightning,https://static.wikia.nocookie.net/houkai-star-rail/images/1/15/Type_Lightning.png/revision/latest?cb=20220610120726,Nihility,https://static.wikia.nocookie.net/houkai-star-rail/images/4/45/Path_Nihility.png/revision/latest?cb=20240417235304,5
Jingliu,https://static.wikia.nocookie.net/houkai-star-rail/images/9/97/Character_Jingliu_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20240525000314,"HP-scaling AoE DPS, Crit Damage","Crit Damage and HP Priority now (was Crit Damage and ATK). Now skill damage based on Max HP, and her passive and skill already boosting her Crit Rate and Damage",Hunter of Glacial Forest (4pc),https://static.wikia.nocookie.net/houkai-star-rail/images/e/e8/Item_Hunter_of_Glacial_Forest.png/revision/latest?cb=20230810043422,Rutilant Arena,https://static.wikia.nocookie.net/houkai-star-rail/images/7/70/Item_Rutilant_Arena.png/revision/latest?cb=20230810044056,I Shall Be My Own Sword,https://static.wikia.nocookie.net/houkai-star-rail/images/c/c7/Light_Cone_I_Shall_Be_My_Own_Sword.png/revision/latest?cb=20231011030715,Jingliu;Sunday;Tribbie;Luocha,https://static.wikia.nocookie.net/houkai-star-rail/images/9/97/Character_Jingliu_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20240525000314;https://static.wikia.nocookie.net/houkai-star-rail/images/2/21/Character_Sunday_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20241224161538;https://static.wikia.nocookie.net/houkai-star-rail/images/e/eb/Character_Tribbie_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20250309185506;https://static.wikia.nocookie.net/houkai-star-rail/images/a/a5/Character_Luocha_Splash_Art.png/revision/latest/scale-to-width-down/1000?cb=20230628091054,"There's not much to say, as Hunter of Glacial Forest is by far the best in slot Relics set for Jingliu, providing increase to her DMG",Ice,https://static.wikia.nocookie.net/houkai-star-rail/images/3/35/Type_Ice.png/revision/latest?cb=20220610120329,Destruction,https://static.wikia.nocookie.net/houkai-star-rail/images/d/df/Path_Destruction.png/revision/latest?cb=20240417234659,5
